ID,NAME,COLLEGE
BSCS,BS Computer Science,CCS
BSCE,BS Civil Engineering,COE
BSEE,BS Electrical Engineering,CED
BSIT,BS Information Technology,CCS
BSMATH,BS Mathematics,CSM
BSME,BS Mechanical Engineering,COE
BSN,BS Nursing,CHS
BSPHYS,BS Physics,CSM
BSPSY,BS Psychology,
BAHIS,BA History,
BAPOLSCI,BA Political Science,
BSA,BS Accountancy,CEBA
BSBIO,BS Biology,CSM
BSCHEM,BS Chemistry,CSM
BSECE,BS Electronics Engineering,COE
BSPUBH,BS Public Health,CHS
BSARCH,BS Architecture,CED
BSEDENG,BSEd English,CED
BSEDMATH,BSEd Mathematics,CED
BSEVE,BS Environmental Engineering,COE
